Date,Mkt-RF,SMB,HML,RF
1926-07-31,0.028900,-0.025500,-0.023900,0.002200
1926-08-31,0.026400,-0.011400,0.038100,0.002500
1926-09-30,0.003800,-0.013600,0.000500,0.002300
1926-10-31,-0.032700,-0.001400,0.008200,0.003200
1926-11-30,0.025400,-0.001100,-0.006100,0.003100
1926-12-31,0.026200,-0.000700,0.000600,0.002800
1927-01-31,-0.000500,-0.003200,0.045800,0.002500
1927-02-28,0.041700,0.000700,0.027200,0.002600
1927-03-31,0.001400,-0.017700,-0.023800,0.003000
1927-04-30,0.004700,0.003900,0.006500,0.002500
1927-05-31,0.054500,0.015500,0.048000,0.003000
1927-06-30,-0.023800,0.005100,-0.017200,0.002600
1927-07-31,0.072600,-0.032700,-0.011300,0.003000
1927-08-31,0.019900,-0.007700,-0.038500,0.002800
1927-09-30,0.047700,-0.036000,-0.005700,0.002100
1927-10-31,-0.042900,0.020300,-0.044700,0.002500
1927-11-30,0.065200,0.027800,-0.000800,0.002100
1927-12-31,0.020900,0.009800,-0.011200,0.002200
1928-01-31,-0.005700,0.042000,-0.007100,0.002500
1928-02-29,-0.016900,-0.020600,-0.006400,0.003300
1928-03-31,0.087900,-0.003800,-0.011100,0.002900
1928-04-30,0.042500,0.041400,0.032500,0.002200
1928-05-31,0.015200,0.027000,-0.030000,0.003200
1928-06-30,-0.049000,-0.037600,0.002800,0.003100
1928-07-31,0.006300,-0.013600,-0.005400,0.003200
1928-08-31,0.066900,-0.020400,-0.021300,0.003200
1928-09-30,0.028700,0.024000,0.008400,0.002700
1928-10-31,0.013100,0.022400,-0.021400,0.004100
1928-11-30,0.118200,-0.018200,0.026500,0.003800
1928-12-31,0.004000,-0.009300,-0.005200,0.000600
1929-01-31,0.046600,-0.033500,-0.012200,0.003400
1929-02-28,-0.003400,-0.003300,0.016600,0.003600
1929-03-31,-0.008500,-0.049100,0.015700,0.003400
1929-04-30,0.014700,-0.011200,0.009300,0.003600
1929-05-31,-0.063800,-0.054400,-0.015200,0.004400
1929-06-30,0.097000,-0.021400,-0.027400,0.005200
1929-07-31,0.044800,-0.038700,0.026700,0.003300
1929-08-31,0.081400,-0.097500,0.003200,0.004000
1929-09-30,-0.054500,0.013400,-0.007900,0.003500
1929-10-31,-0.200700,-0.049500,0.075400,0.004600
1929-11-30,-0.128700,-0.008800,0.050500,0.003700
1929-12-31,0.012800,-0.041000,-0.001400,0.003700
1930-01-31,0.056100,0.034900,-0.010300,0.001400
1930-02-28,0.025000,0.002800,0.002800,0.003000
1930-03-31,0.070900,0.033900,0.003000,0.003500
1930-04-30,-0.020500,-0.003500,-0.003700,0.002100
1930-05-31,-0.016600,-0.021000,-0.007400,0.002600
1930-06-30,-0.160800,-0.035900,0.024000,0.002700
1930-07-31,0.041200,-0.002700,-0.017000,0.002000
1930-08-31,0.003000,-0.021600,-0.005900,0.000900
1930-09-30,-0.128100,-0.024100,-0.050900,0.002200
1930-10-31,-0.087800,-0.002000,-0.010900,0.000900
1930-11-30,-0.030400,0.024600,-0.038100,0.001300
1930-12-31,-0.078600,-0.046700,-0.056900,0.001400
1931-01-31,0.062500,0.034700,0.082400,0.001500
1931-02-28,0.108800,0.034500,0.016300,0.000400
1931-03-31,-0.063500,0.028300,-0.032000,0.001300
1931-04-30,-0.100000,-0.042200,-0.043300,0.000800
1931-05-31,-0.132900,0.052200,-0.063100,0.000900
1931-06-30,0.139300,-0.050100,0.117000,0.000800
1931-07-31,-0.066300,0.014900,-0.022000,0.000600
1931-08-31,0.004000,-0.020800,-0.017000,0.000300
1931-09-30,-0.287400,-0.010200,-0.072400,0.000300
1931-10-31,0.079900,-0.002800,0.031200,0.001000
1931-11-30,-0.091400,0.044000,-0.051900,0.001700
1931-12-31,-0.135200,-0.008700,-0.091900,0.001200
1932-01-31,-0.015700,0.044100,0.097400,0.002300
1932-02-29,0.054500,-0.025100,-0.014700,0.002300
1932-03-31,-0.113000,0.021300,-0.022000,0.001600
1932-04-30,-0.179400,0.009300,0.020700,0.001100
1932-05-31,-0.205100,0.042100,-0.040800,0.000600
1932-06-30,-0.007700,0.004000,0.058500,0.000200
1932-07-31,0.336100,-0.042900,0.355200,0.000200
1932-08-31,0.371200,0.134600,0.342000,0.000300
1932-09-30,-0.029400,-0.021500,-0.073700,0.000300
1932-10-31,-0.131500,-0.025900,-0.104700,0.000200
1932-11-30,-0.058800,0.018300,-0.131900,0.000200
1932-12-31,0.044200,-0.083000,-0.075400,0.000100
1933-01-31,0.012400,0.007300,0.064600,0.000100
1933-02-28,-0.152900,-0.026300,-0.029200,-0.000300
1933-03-31,0.030600,0.036000,0.070900,0.000400
1933-04-30,0.388100,0.030200,0.201000,0.001000
1933-05-31,0.214300,0.359600,0.186600,0.000400
1933-06-30,0.131000,0.086500,-0.016400,0.000200
1933-07-31,-0.096400,-0.010600,0.033000,0.000200
1933-08-31,0.120400,-0.051600,0.030500,0.000300
1933-09-30,-0.106500,-0.005800,-0.117100,0.000200
1933-10-31,-0.083600,-0.000700,-0.084900,0.000100
1933-11-30,0.099700,-0.063700,0.022700,0.000200
1933-12-31,0.018200,0.003600,-0.019900,0.000200
1934-01-31,0.126000,0.132100,0.162000,0.000500
1934-02-28,-0.025100,0.050500,0.018600,0.000200
1934-03-31,0.000900,0.024500,-0.025900,0.000200
1934-04-30,-0.017900,0.027300,-0.038300,0.000100
1934-05-31,-0.072600,-0.003100,-0.059000,0.000100
1934-06-30,0.027100,-0.021800,-0.028500,0.000100
1934-07-31,-0.109400,-0.071200,-0.107600,0.000100
1934-08-31,0.055800,0.055500,0.001700,0.000100
