Price,AAPL,MSFT,JPM,KO,MCD,XOM,CAT,JNJ,WMT,DIS,^GSPC
Ticker,AAPL,MSFT,JPM,KO,MCD,XOM,CAT,JNJ,WMT,DIS,^GSPC
Date,,,,,,,,,,,
2018-11-30,42.343269,103.500946,91.380165,40.603451,160.183441,57.341560,116.456871,120.671753,29.218796,111.360939,2760.169922
2018-12-31,37.532375,95.211517,80.227791,38.447937,151.817856,49.682503,109.074753,106.683830,27.872305,105.729736,2506.850098
2019-01-31,39.602444,97.892471,85.060211,39.081287,152.852386,53.391018,114.302299,110.015358,28.830688,108.366997,2704.100098
2019-02-28,41.199005,105.016716,86.463509,36.815815,157.178558,57.580414,118.648773,112.958366,29.781387,109.649666,2784.489990
2019-03-31,45.390202,111.028885,83.870270,38.050056,163.393387,59.523571,117.050575,116.328865,29.342144,107.890854,2834.399902
2019-04-30,47.951851,122.947029,96.148834,40.184200,169.992844,59.140511,120.445732,117.502235,31.106150,133.097427,2945.830078
2019-05-31,41.834496,116.432526,88.460869,40.241543,170.595139,52.134716,104.131897,109.138931,30.682688,128.306824,2752.060059
2019-06-30,47.476845,126.576965,93.336418,41.707703,179.720795,57.098709,118.455376,116.697540,33.597588,135.691940,2941.760010
2019-07-31,51.103821,128.759598,96.842773,43.444851,182.369095,55.407295,114.439957,109.106506,33.564129,138.966675,2980.379883
2019-08-31,50.072334,130.261963,92.366119,45.434250,188.643661,51.025982,104.223732,107.548058,34.743961,134.205215,2926.459961
2019-09-30,53.929806,131.804993,98.949287,44.938969,186.804840,53.267265,110.626038,109.214989,36.265633,127.419685,2976.739990
2019-10-31,59.899010,135.919449,105.027985,45.259212,171.135483,50.973927,120.689339,111.460388,35.831715,127.028587,3037.560059
2019-11-30,64.351219,143.513153,111.666222,44.402752,169.204025,51.396389,127.755173,116.060944,36.390907,148.206543,3140.979980
2019-12-31,70.920349,150.013474,118.141106,46.367992,173.029083,53.275974,130.359177,123.987953,36.314522,141.411209,3230.780029
2020-01-31,74.750755,161.932739,112.174728,48.923042,187.354034,47.427673,115.944481,126.537964,35.142200,136.042099,3225.520020
2020-02-29,66.020065,154.113388,99.034622,44.809826,170.016953,39.273655,110.437645,114.306587,33.051899,115.720856,2954.219971
2020-03-31,61.560169,150.432739,76.790009,37.069252,145.687958,29.405706,103.148621,112.169884,34.875141,95.016014,2584.590088
2020-04-30,71.125015,170.940643,81.677315,38.780273,165.256912,35.988495,103.450851,128.345673,37.474319,106.376625,2912.429932
2020-05-31,76.968971,174.794266,83.861862,39.447876,164.164368,35.214039,107.764618,127.242188,38.248154,115.376587,3044.310059
2020-06-30,88.552193,194.660034,81.061012,37.757736,163.618057,35.304733,113.478928,121.130196,37.091061,109.681526,3100.290039
2020-07-31,103.174973,196.094803,83.284462,40.283794,172.319153,33.220551,119.202225,125.548813,40.069981,115.022491,3271.120117
2020-08-31,125.293594,215.722427,87.185242,42.236588,189.384308,31.531099,128.617630,132.138123,42.996277,129.707672,3500.310059
2020-09-30,112.650436,201.669739,83.774055,42.100151,195.818466,27.636894,134.799530,129.089722,43.502625,122.045418,3363.000000
2020-10-31,105.890076,194.133392,85.314316,41.314800,190.028381,26.260277,141.939438,118.884300,43.141945,119.261826,3269.959961
2020-11-30,115.802048,205.255753,103.530914,44.357960,193.989487,30.696028,157.846298,125.448013,47.507435,145.583008,3621.629883
2020-12-31,129.292587,213.820267,111.602257,47.512875,192.575790,33.984192,165.511795,137.408081,44.820988,178.209137,3756.070068
2021-01-31,128.581268,222.991455,113.007492,41.716717,186.526947,36.968735,166.257385,142.428375,43.842644,165.412476,3714.239990
2021-02-28,118.155258,223.395187,130.186417,42.444485,185.001266,44.825825,197.345276,138.350998,40.544071,185.940231,3811.149902
2021-03-31,119.200333,227.176132,134.662506,45.667461,202.393112,46.811222,211.962433,144.388367,42.388397,181.494354,3972.889893
2021-04-30,128.285492,242.987976,136.060150,47.157055,213.174698,47.993454,208.525208,142.965118,43.843933,182.969757,4181.169922
2021-05-31,121.600922,240.579071,146.142242,48.301468,211.197159,48.940907,221.377869,148.693192,44.508286,175.720596,4204.109863
